Item Type Metadata:NewspaperText,Item Type Metadata:Date of meeting,Item Type Metadata:Place,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,Item Type Metadata:Newspaper,Dublin Core:Date,itemType,geolocation:map_type,geolocation:address,Item Type Metadata:meeting date
"Mr. Duffy s proposed Route.   Mr. Duffy intends going to Lancaster, to visit his father, one of the exiled patriots of Ireland of 1798, aged upwards of ninety years, and has been advised to go by short stages and visit his Chartist brethren in the following places, during the next week, in his route, under the consideration that his health, although much improved, would not yet justify excessive fatigue. Mr. D,, in accordance with this advice, will visit Ripponden on Monday next, and will be most happy to meet all the Chartists (as well as Wings, and Tories) of that district and explain his principles, and support them in discussion in or out of doors, as may be most convenient, at any hour after tour o clock: he will call on Mr. Philip Platt. On Tuesday, Mr. D. will be at the service of the men of Hebden Bridge, in the same way. At Todmorden he will attend on Wednesday. At Haslingden, on Thursday. At Colne, on Friday. At Burnley, on Saturday. And at Blackburn, on Sunday. Mr. B. would be glad to hear from any friends wishing him to visit them in the neighbourhood of Lancaster, while he remains there, or on his return from that place to Leeds. Letters to be addressed to him at Mr. James Duffy s, Sugar-house Alley, Greenaire, Lancaster. ",,Mr,,,7,Northern Star,16/10/1841,Meeting,,,18/10/1841
"ROCHDALE. - The Demonstration Committee is requested to meet in the room, School-lane, on Sunday morning next, at ten o clock. Mr. Cartledge will leture there in the afternoon, at half-past two. ",,Rochdale,53.6153659,-2.1557561,7,Northern Star,16/10/1841,Meeting,,,17/10/1841
"	The second East and North Riding delegate meeting will be held in the Association Room, Ebor Tavern, Straker s Passage, Fossgate, York, on Sunday the 31st October, at ten o clock in the morning, when it is hoped that every town in the above Ridings will send delegates, as business of importance will be brought forward. Those localities who cannot send delegates must send their views by letter. Any person willing to become lecturer for the East and North Riding district of Yorkshire must forward their address to the Secretary, Edward Burley, 19, Bilton-street, Layerthorp, York. ",,York,53.9583807,-1.0786396,7,Northern Star,16/10/1841,Meeting,,,17/10/1841
"DERBYSHIRE.   Mr. Bairatow, the missionary, will lecture at Bonsall oa Monday, and on Tuesday Matlock.",,Derbyshire,53.1185033,-1.556617831,7,Northern Star,16/10/1841,Meeting,,,19/10/1841
"BRADFORD.   A sermon will be preached in the National Charter Association room, White Abbey, on Sunday next, by Mr. J. Alderson, in the afternoon at half-past two o olock; and in the evening, at six o'clock by Mr. J. Arran, when a collection will be made for books after each sermon.
",,Bradford,53.7941567,-1.7494778,7,Northern Star,16/10/1841,Meeting,,,17/10/1841
"CITY OF LONDON.   Mr. Watkins will preach here on Sunday se'nnight, on "" The necessity of union in the cause, and of vigilance to preserve union. ",,City Of London,51.5145109,-0.0892154,7,Northern Star,23/10/1841,Meeting,,,24/10/1841
"WALWORTH.   Mr. Wild will lecture at the Joan of Arc, corner of Park-place, East-street, Walworth, on Wednesday the 27th inst.",,Walworth,51.4898,-0.0905,7,Northern Star,23/10/1841,Meeting,,,27/10/1841
"LAMBETH. - Mr. Balls will lecture at the Chartist Hall, 1, China Walk, on Sunday evening, at seven o'clock. Mr. Wheeler will lecture at the above place on Tuesday, at eight o'clock.",,Lambeth,51.5013012,-0.117287,7,Northern Star,23/10/1841,Meeting,,,24/10/1841
"	Lecture. - Mr Wm. Benbow will lecture at the Working Men's Hall, Circus-street, New Road, Marylebone, on Sunday evening, at half-past seven.",,Lecture,51.5203722,-0.16248,7,Northern Star,23/10/1841,Meeting,,,24/10/1841
WESTMINSTER.   Mr. Goodfellow will lecture on Sunday evening next.,,Westminster,51.5001592,-0.1270244,7,Northern Star,23/10/1841,Meeting,,,24/10/1841
