Item Type Metadata:NewspaperText,Item Type Metadata:Date of meeting,Item Type Metadata:Place,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,Item Type Metadata:Newspaper,Dublin Core:Date,itemType,geolocation:map_type,geolocation:address,Item Type Metadata:meeting date
"WILTSHIRE.   In consequence of Mr. Ruffy Ridley going to lecture, in the South parts of Wilts, on Sunday next, the 4th of July, near Mouckton Deverall, the County Council will be postponed till Sunday, July the 11th, when they are requested to attend at North Bradley, at ten o clock in the morning. Mr. Ridley will lecture at Salisbury, on Monday, the 12th instant. All places wishing to have Mr. Ridley, are requested to send to J. Moore, 34, Mortimer-street, Trowbridge.",,Wiltshire,51.25,-1.916667,7,Northern Star,03/07/1841,Meeting,,,04/07/1841
"BIRMINGHAM.   The members of the Brown Committee are earnestly requested to attend nest Tuesday evening, at eight o clock, in the School Room of the Chartist Church ; all persons having collecting books to bring them in.",,Birmingham,52.4813679,-1.8980726,7,Northern Star,03/07/1841,Meeting,,,06/07/1841
"DEWSBURY.   Mr. Charles Connor will deliver a lecture in the Chartist Association Room, over the Co-operative Stores, near the Market Cross, Dewsbury, on Sunday next, July 3rd, at half-past six o clock in the evening, and it is expected that Mr. George Julian Harney will attend.",,Dewsbury,53.6909103,-1.6302142,7,Northern Star,03/07/1841,Meeting,,,04/07/1841
"DERBY.	- Mr. Dean Taylor preaches here tomorrow evening, in the market-place, at seven o clock.",,Derby,52.9212617,-1.4761491,7,Northern Star,03/07/1841,Meeting,,,04/07/1841
STAPLEFORD.   Mr. Dean Taylor lectures here on Wednesday evening.,,Stapleford,52.9282651,-1.2719255,7,Northern Star,03/07/1841,Meeting,,,07/07/1841
ILKESTON.   Mr. Dean Taylor lectures here on Thursday evening.,,Ilkeston,52.9710869,-1.307171,7,Northern Star,03/07/1841,Meeting,,,08/07/1841
HEANOR.   Mr. Dean Taylor lectures here on Friday evening.,,Heanor,53.0147295,-1.3573286,7,Northern Star,03/07/1841,Meeting,,,09/07/1841
"Mr. Leach will lecture at Radcliffe Bridge on Monday,Ashton on Wednesday, and Oldham on Thursday evening next.	",,Radcliffe Bridge,53.5465414,-2.3709366,7,Northern Star,03/07/1841,Meeting,,,08/07/1841
"OLDHAM.   Mr. Hill will preach in Grosvenor-street Chapel on Sunday week, the 25th instant., afternoon and evening.",,Oldham,53.5415797,-2.1147831,7,Northern Star,17/07/1841,Meeting,,,18/07/1841
"HULL.   Mr. Hill will preach in the large room, No. 8, Church  Side to-morrow (Sunday) morning at half-past ten o'clock, and in the evening at six.",,Hull,53.7657076,-0.3370322,7,Northern Star,17/07/1841,Meeting,,,18/07/1841
"SUNDERLAND.   Mr. Binns will lecture at the Life Boat House, on Sunday afternoon, at half-past two.",,Sunderland,54.9063791,-1.375053,7,Northern Star,17/07/1841,Meeting,,,18/07/1841
Mr. Harney will lecture in Sunderland on Friday evening.	,,Sunderland,54.9063791,-1.375053,7,Northern Star,17/07/1841,Meeting,,,23/07/1841
"DARLESTON.   Mr. Candy will lecture in the open air,' at the Bull Stakes, on Monday evening.",,Darleston,52.5733189,-2.0355619,7,Northern Star,17/07/1841,Meeting,,,19/07/1841
"PECKHAM.   A public meeting will be held on Tuesday evening next, at eight eight o clock, at the Rosemary Branch, Southampton-street, when a lecture will be delivered by Mr. John Watkins. A full attendance is requested.",,Peckham,51.4734122,-0.0699321,7,Northern Star,17/07/1841,Meeting,,,20/07/1841
"A meeting of the Female Chartists of Manchester will be held on Wednesday evening next, in the Chartist Room, Tib-street, to pass an address to their sisters of England, Ireland, and Scotland.",,Manchester,53.4843062,-2.2363588,7,Northern Star,17/07/1841,Meeting,,,21/07/1841
"LEEDS AND HUNSLET.   Sermons will be preached to-morrow afternoon in Vicar s Croft, and in the evening on Hunslet Moor, by Messrs. Stflith and Parker.",,Leeds And Hunslet,53.76424865,-1.541944651,7,Northern Star,24/07/1841,Meeting,,,25/07/1841
"Mr. Skevington, of Loughborough, will deliver a lecture in the Chartist meeting room, Hill-side, Chesterfield, on Wednesday evening next, the 29th instant, to commence at half-past seven o clock. A collection will be made after the lecture, to defray the expences.",,Mr,,,7,Northern Star,24/07/1841,Meeting,,,28/07/1841
"Mr. Candy will lecture on Monday next, and each evening next week, at seven o clock:",,"Arnold, Nottinghamshire",53.0052605,-1.1255532,7,Northern Star,24/07/1841,Meeting,,,26/07/1841
"MACCLESFIELD.   The Whigs  funeral sermon will be preached in the Chartist Room, Watercotes, on Sunday evening next, at seven o clock, by Mr. West, when Whigs, ton Law Repealers, Socialists, Sham Radicals, and all other chief mourners are invited to attend.",,Macclesfield,53.2606635,-2.1255158,7,Northern Star,24/07/1841,Meeting,,,25/07/1841
"HALIFAX.   Mr. W. Martin, late student in the Whig colleges, of Northallerton and Lancaster, will preaoh on Sunday next, in the open air, if the weather permit, on the South-end of North-bridge, at four o clock in the afternoon.",,Halifax,53.725,-1.863,7,Northern Star,24/07/1841,Meeting,,,25/07/1841
"SUNDERLAND.   Mr. Williams will lecture at the Life-boat Room, on Sunday afternoon at half-past two. o clock.",,Sunderland,54.9063791,-1.375053,7,Northern Star,24/07/1841,Meeting,,,25/07/1841
"TOWER HAMLETS.   Mr. Wall lectures next Sunday evening, at the Tower Hamlets, on the policy of Whigs and Tories.",,Tower Hamlets,51.516667,-0.05,7,Northern Star,24/07/1841,Meeting,,,25/07/1841
"MARYLEBONE.   Mr. Edmund Stallwood has accepted the invitation of the men of Marylebone, and will lecture in the Working Men s Hall, Circus-street, on Sunday evening next, on the Charter, its principles, their practicability, the means of ob-tainment, &c. &c.",,Marylebone,51.518421,-0.1479115,7,Northern Star,24/07/1841,Meeting,,,25/07/1841
"ALFRETON.   Mr. Bairstow will lecture here on Tuesday evening, the 27th, at seven.",,Alfreton,53.0972537,-1.3900241,7,Northern Star,24/07/1841,Meeting,,,27/07/1841
"RIPLEY.   Mr. Bairstow will lecture here on Thursday evening, the 29th, at seven.",,Ripley,53.0502,-1.4077,7,Northern Star,24/07/1841,Meeting,,,29/07/1841
"LIVERPOOL.   Mr. William Jones will deliver a lecture in tho Chartist Association Room, Preston-street, on Wednesday evening next, at eight o clock.",,Liverpool,53.4054719,-2.9805393,7,Northern Star,24/07/1841,Meeting,,,28/07/1841
"HUDDERSFIELD.   There will be a delegate meeting held next Sunday the 25th, at six o clock in evening, at the Dog Inn, Kirkgate, on general and important business, when delegates from Holmfirth, Honley, Meltham, Slaithwaite, and Lindley are expected to attend.
",,Huddersfield,53.6467031,-1.7832077,7,Northern Star,24/07/1841,Meeting,,,25/07/1841
"MILNROW.   Mr. Francis Louis, of Oldham, will lecture here on Sunday evening, at six o clock.",,Milnrow,53.6082511,-2.1099476,7,Northern Star,31/07/1841,Meeting,,,01/08/1841
"ASHTON. -  The Chartists of this place are requested to meet in their room, on Sunday (to-morrow), at nine o clock in the morning.",,Ashton,53.4911289,-2.0937689,7,Northern Star,31/07/1841,Meeting,,,01/08/1841
"WIGAN.   Mr. William Dixon will lecture on Sunday evening next, August 1st, at half-past seven, in the Chartist Association Room, Millgate, on the principles of the People s Charter, and the necessity of the people joining in a thorough union to achieve their political rights,",,Wigan,53.5457188,-2.6264624,7,Northern Star,31/07/1841,Meeting,,,01/08/1841
"SUNDERLAND.   Mr. Binns will lecture at the Life Boat House, on Sunday afternoon, at half-past two o clock.",,Sunderland,54.9063791,-1.375053,7,Northern Star,31/07/1841,Meeting,,,01/08/1841
"LIVERPOOL. - Mr. B. McCartney will lecture in the Association Room, Preston-Street, on Wednesday evening next.",,Liverpool,53.4054719,-2.9805393,7,Northern Star,31/07/1841,Meeting,,,04/08/1841
"BRADFORD.   The Bradford Female Association meet every Monday evening, in the room over the Chartist provision store, Goodmansend. ",,Bradford,53.7941567,-1.7494778,7,Northern Star,07/08/1841,Meeting,,,09/08/1841
"NEW LEEDS.   A meeting will take place here on Sunday the 8th instant, at ten in the forenoon, for the dispatch of important business.",,New Leeds,53.8,-1.75206,7,Northern Star,07/08/1841,Meeting,,,08/08/1841
"THORNTON, NEAR BRADFORD.   Mr. Alderson will preach at Thornton, on Sunday next, Whigs and Tories are invited to come and hear the truth.",,"Thornton, Near Bradford",",53.7898",-1.8504,7,Northern Star,07/08/1841,Meeting,,,08/08/1841
STALYBRIDGE.   Mr. Stoner lectures to-morrow afternoon.,,Stalybridge,53.4840214,-2.0562536,7,Northern Star,07/08/1841,Meeting,,,08/08/1841
"SOUTH LANCASHIRE.   The delegate meeting is tomorrow afternoon, in the Chartist Room, East Manchester.",,South Lancashire,53.8849416,-2.5758971,7,Northern Star,07/08/1841,Meeting,,,08/08/1841
KENSINGTON.   Mr. Ridley lectures on Monday evening.,,Kensington,51.4989948,-0.1991229,7,Northern Star,07/08/1841,Meeting,,,09/08/1841
"MIDDLESEX.   The newly-elected Delegates to the Middlesex Council will meet on Sunday the 8th, at 55, Old Bailey, at three o'clock precisely, and are requested to be prepared with their credentials,",,Middlesex,51.5,-0.416667,7,Northern Star,07/08/1841,Meeting,,,08/08/1841
"BURY.   Mr. Bell will lecture in the Working Men s Hall, on Monday evening, August 9th, the chair to be taken at eight o clock. The Committee solicit the attendance of their fellow workmen on the occasion. Discussion is invited.",,Bury,52.2460367,0.7125173,7,Northern Star,07/08/1841,Meeting,,,09/08/1841
"BOLTON.   Mr. Doyle will lecture in the Chartist Room, on Monday evening, August 9th, upon the principles of the Charter.",,Bolton,53.577694,-2.4288874,7,Northern Star,07/08/1841,Meeting,,,09/08/1841
"HALIFAX.  Mr. Charles Connor will lecture on the Corn Laws, in the Odd Fellow's Hall, at half-past seven on Tuesday evening. Discussion will be invited at the close of the lecture ; more especially; as we understand the anti-Corn Law party are going to have a public tea on the Monday, at which Mr. Cobden, the great gun, and Mr, Marven, the rush-light of the   Plague,  will be present.",,Halifax,53.725,-1.863,7,Northern Star,07/08/1841,Meeting,,,10/08/1841
"BOLTON.   Mr. Isaac Barlow will preach at the Association-rooms, Oxford-street, Great Bolton, tomorrow evening.	",,Bolton,53.577694,-2.4288874,7,Northern Star,07/08/1841,Meeting,,,08/08/1841
"SUNDERLAND.   Mr. Williams will lecture here on Sunday afternoon, at half-past two, near the Life Boat House.",,Sunderland,54.9063791,-1.375053,7,Northern Star,07/08/1841,Meeting,,,08/08/1841
"DURHAM.   Mr. Williams will lecture at Durham, on Monday evening, at seven, or half-past seven o clock ; place of meeting the Sands.",,Durham,54.7764152,-1.5758539,7,Northern Star,07/08/1841,Meeting,,,09/08/1841
"WEST RAINTON.   On Sunday morning, August 15th, at half-past ten, Mr. Williams will lecture at this place.",,West Rainton,54.8151566,-1.500013,7,Northern Star,07/08/1841,Meeting,,,08/08/1841
"HUDDERSFIELD. - Important Lectures.  Two lectures will be given on Sunday next, August 8, at two o clock in the afternoon, and six in the evening, in the Association Room, Upperhead-row, for the benefit of Benjamin Rushton, of Halifax, who has lost his employment, along with the whole family, solely from having advocated the principles of the Charter.
",,Huddersfield,53.6467031,-1.7832077,7,Northern Star,07/08/1841,Meeting,,,08/08/1841
"COVENTRY.   A public meeting will be held at the Chartist meeting room, Park-street, on Friday evening, the 20th instant. All lovers of freedom are invited.",,Coventry,52.4145039,-1.518763323,7,Northern Star,14/08/1841,Meeting,,,20/08/1841
"KEIGHLEY.   The Rev. W. V. Jackson, of Manchester, will preach two sermons on Sunday next, towards a fund for defraying the expences of building him a new preaching place. Services will be in the afternoon and evening, and collections made after each.",,Keighley,53.8684021,-1.9020456,7,Northern Star,14/08/1841,Meeting,,,15/08/1841
NEW LEEDS.   An adjourned meeting of the Chartists of this district will take place on Sunday next. The good men and true are particularly requested to attend.,,New Leeds,53.8,-1.75206,7,Northern Star,14/08/1841,Meeting,,,15/08/1841
"WEST RAINTON.   On Sunday morning, August 15th, at half-past ten, Mr. Williams will speak at West Rainton.",,West Rainton,54.8151566,-1.500013,7,Northern Star,14/08/1841,Meeting,,,15/08/1841
"SUNDERLAND.   On Sunday afternoon, at half-past two o clock, Mr. Binns will lecture at the Life-boat House.",,Sunderland,54.9063791,-1.375053,7,Northern Star,14/08/1841,Meeting,,,15/08/1841
"HEBDEN BRIDGE.   Mr. Brook will attend as the Leeds delegate at Hebden Bridge, to-morrow (Sunday), as announced in last week s Star.",,Hebden Bridge,53.7407227,-2.0093753,7,Northern Star,14/08/1841,Meeting,,,15/08/1841
"DERBYSHIRE.   Mr. Bairstow will lecture at the following places at seven o olock each evening:  At Loughborough, on Monday, August 16; Holbrook, on Tuesday, the 17th; Duffield, on Wednesday, the 18th; Ripley, on Thursday, the 19th; Al-freton, on Friday, the 20th ; South Winfield, on Saturday, the 21; and will preach in Belper Market Place, on Friday evening at half-past five o clock. A collection will be made at the close of each lecture, to afford the friends of Chartism an opportunity of aiding the funds.",,Derbyshire,53.1185033,-1.556617831,7,Northern Star,14/08/1841,Meeting,,,20/08/1841
"YORKSHIRE AND LANCASHIRE Delegate Meeting.  This meeting will take place at ten o'clock tomorrow (Sunday) morning, the 10th. Delegates are requested to bring their credentials. On reaching Hebden Bridge the delegates will inquire for Mr. Abraham Marshall, boot and shoemaker, St. George's Square.",,Hebden Bridge,53.7407227,-2.0093753,7,Northern Star,14/08/1841,Meeting,,,15/08/1841
"WEST RIDING.   Mr. George Julian Harney will visit the following places in the course of next week:  Monday, the 16th, at Selby; Tuesday, the 17th, at Doncaster; Wednesday,the 18th,at Sheffield; and on Thursday, the 19th, at Dewsbury, instead of Friday, as last week advertised. N.B. Upon this occasion, a public meeting will be held at half-past seven o clock, in the Market-place, to take into consideration the propriety of petitioning Parliament for an inquiry into the treatment of political prisoners, and the immediate abolition of the atrocious silent system. Mr. T. B. Smith, of Leeds, is expected to be present with Mr. Harney. - Mr. G. J. Harney has postponed his visit to Barnsley to Monday the 23rd, at which place, a public meeting for toe like purpose will be held on hat day. Mr. Whitby is also expected to be there.
",,West Riding,53.75,-1.666667,7,Northern Star,14/08/1841,Meeting,,,16/08/1841
LIVERPOOL.   Mr. Wm. Jones lectures in the Association Room next Wednesday evening.,,Liverpool,53.4054719,-2.9805393,7,Northern Star,28/08/1841,Meeting,,,01/09/1841
"CITY OF LONDON.   Next Sunday evening, the 29th instant, Mr. Ruffey Ridley will deliver a sermon, in the hall of the Institute, 55, Old Bailey.",,City Of London,51.5145109,-0.0892154,7,Northern Star,28/08/1841,Meeting,,,29/08/1841
"LEEDS.   A lecture will be delivered next Sunday evening, on the silent system, to commence at seven o clock. Tho attendance of the Chartists is particularly requested. On Sunday, September 6th, at seven o clock, Mr. J. Smith, of Hunslet, will deliver a lecture on phrenology.",,Leeds,53.7974185,-1.5437941,7,Northern Star,28/08/1841,Meeting,,,29/08/1841
"BIRMINGHAM.   The friends at this place are informed that a public meeting will be held every Tuesday evening, at the Charter Association Room, Freeman-street, on behalf of Frost, Williams, and Jones. Chair to be taken at eight o clock.",,Birmingham,52.4813679,-1.8980726,7,Northern Star,28/08/1841,Meeting,,,31/08/1841
"STOCKPORT. - Mr. James Leech will lecture in the Charlestown Meeting Room, on Tuesday, August 31st. One penny will be charged for admission. Mr. Richards, of Salford, will deliver a lecture in the Chartist Room, Catharine-strect, on Sunday next, at six o clock in the evening.",,Stockport,53.4077455,-2.1601108,7,Northern Star,28/08/1841,Meeting,,,29/08/1841
"LEICESTER.   Mr. Cooper will preach in the Market-place, at six o clock to-morrow (Sunday night) if the weather permit; otherwise, in the room at All-Saints  Open.",,Leicester,52.6367811,-1.1312289,7,Northern Star,28/08/1841,Meeting,,,29/08/1841
"SUNDERLAND.   On Sunday afternoon, Mr. Binns will lecture at the Life Boat House.",,Sunderland,54.9063791,-1.375053,7,Northern Star,28/08/1841,Meeting,,,29/08/1841
"BERMONDSEY.   A special general meeting of the members of council, residing in the various localities, in the counties of Surrey and Kent, will be held at the Horn s Tavern, Crucifix-lane, Bermondsey, on Sunday next, when business of great importance will be laid before the meeting. It is requested that each member should attend.",,Bermondsey,51.5017679,-0.0697911,7,Northern Star,28/08/1841,Meeting,,,29/08/1841
"BERMONDSEY.   A raffle will take place on Monday evening next, at eight o clock, at the Black Eagle Tap, Parish-street, opposite the Workhouse, near Crucifix-lane, for a beautiful likeness of Thomas Paine, at threepence per member, for the benefit of poor Reeves, of Lambeth, who suffered so gloriously in the cause of the unstamped press, some years ago, and who is in great distress.",,Bermondsey,51.5017679,-0.0697911,7,Northern Star,28/08/1841,Meeting,,,30/08/1841
"MANCHESTER.   Mr. Leach will lecture in Eccles on Monday evening, Sept. 6th, on Trades' Unions, showing the necessity of the trades joining immediately the National Charter Association.",,Manchester,53.4791466,-2.2447445,7,Northern Star,04/09/1841,Meeting,,,06/09/1841
"Mr. Wm. Bell, of Salford, will lecture in Bolton on Sunday evening next.",,Bolton,53.577694,-2.4288874,7,Northern Star,04/09/1841,Meeting,,,05/09/1841
"On Sunday evening, (to-morrow) the Rev. Mr. Starkie, delegate to the Anti-Corn Law Conference, will give an exposition of the proceedings of that assembly in the Chartist Room, Brown-street, Manchester.",,Manchester,53.4808103,-2.2425465,7,Northern Star,04/09/1841,Meeting,,,05/09/1841
"A Public Recital will be given for the benefit of that tried and dungeon-proof patriot, Christopher Doyle, in Brown-street Rooms, on Friday evening, Sept. 10th,",,Manchester,53.4808103,-2.2425465,7,Northern Star,04/09/1841,Meeting,,,10/09/1841
"LEEDS.   At the weekly meeting in Fish-street, on Monday evening, a petition will be submitted on the horrible silent system.",,Leeds,53.7974185,-1.5437941,7,Northern Star,04/09/1841,Meeting,,,06/09/1841
"BRADFORD.   Brooke, the Victim,  A sermon will be preached on Sunday next, by Mr. Ingham, at Manningham, at two o'clock, p.m.; and another by Mr. Thomas Ibbetson, at Longcroft-place, at six o'clock in the evening, when collections at each service will be made on behalf of Wm. Brooke, a prisoner in Northallerton   hell-hole. ",,Bradford,53.7941567,-1.7494778,7,Northern Star,04/09/1841,Meeting,,,05/09/1841
"MACCLESFIELD.   Mr. West will lecture on Sunday evening, in the Chartist-rooms, at half-past six o'clock.",,Macclesfield,53.2606635,-2.1255158,7,Northern Star,04/09/1841,Meeting,,,05/09/1841
"MIDDLESEX.   The County Delegate Council of Middlesex will meet on Sunday next, for the purpose of devising the best means of providing for making a demonstration to welcome O'Connor.",,Middlesex,51.5,-0.416667,7,Northern Star,04/09/1841,Meeting,,,05/09/1841
"ASHTON-UNDER-LYNE.   The members of this Association are requested to meet in their room, Catherine-street, on Sunday next, at two o'clock in the afternoon, on business of importance.",,Ashton-under-lyne,53.4854941,-2.1120849,7,Northern Star,04/09/1841,Meeting,,,05/09/1841
"LONDON.   Mr. George White, of Birmingham, is expected to preach in the Chartists  Hall, 55, Old Bailey, on Sunday next.",,London,51.5073219,-0.1276474,7,Northern Star,11/09/1841,Meeting,,,12/09/1841
"HYDE.   Mr. John Loach, of Hyde, will lecture in the Chartist Room, Greaves-street, Oldham, on Sunday next, tho 12th instant, in the afternoon and evening.",,Hyde,53.4474,-2.082,7,Northern Star,11/09/1841,Meeting,,,12/09/1841
"HANLEY (STAFFORDSHIRE POTTERIES).   Mr. G. B. Mart, of Stoke-upon-Trent, will deliver a lecture on Church and State, at the house of Mr. Joseph Heath, in the Association Room, on Monday evening, at seven o clock, The friends of the cause will do well to make it known.",,Hanley (staffordshire Potteries),53.0259916,-2.1753695,7,Northern Star,11/09/1841,Meeting,,,13/09/1841
"WANDSWORTH, (SURREY).  Mr. Stallwood has accepted the invitation of the patriotic men and woman of Wandsworth, and will deliver a lecture in the Chartist Assembly Rooms, Frogmore, on Sunday evening next, at half-past six o clock precisely.",,"Wandsworth, (surrey)",51.4644,-0.1924,7,Northern Star,11/09/1841,Meeting,,,12/09/1841
"LONDON.   The benefit at the Pantheon Theatre, Catherine-street, Strand, takes place on Monday next. We trust that Mr. O Brien will have a bumper, and in answer to numerous enquiries, we, have to announce that the Box tickets are 1s. 6d. Pit, 1s., Gallery, 6d.",,London,51.5073219,-0.1276474,7,Northern Star,11/09/1841,Meeting,,,13/09/1841
"SHEFFIELD.   Mr. Barker will lecture on Sunday evening, at seven o clock, in the large room, Fig Tree Lane. Subject,  The necessity of abolishing the House of Lords. ",,Sheffield,53.3806626,-1.4702278,7,Northern Star,11/09/1841,Meeting,,,12/09/1841
"MELTHAM.   Edward Clayton will lecture at Meltham, on Sunday next, the l5th inst., at three o clock.",,Meltham,53.5918594,-1.8504515,7,Northern Star,11/09/1841,Meeting,,,12/09/1841
"LANCASTER.   The Chartists of Lancaster intend having a Tea Party and Public Meeting, to commemorate Mr. O Brien s liberation, on Friday September 24th, when Feargus O Connor and other friends are expected to attend.",,Lancaster,54.047,-2.801,7,Northern Star,11/09/1841,Meeting,,,17/09/1841
"BIRMINGHAM. - Public Entry to Feargus O Connor.  On the 20th last, a few friends of the Charter, meeting at the sign of the Ship, Steel House Lane, anxious to reconcile party feeling, and wishing to unite all those friendly to freedom, and with a view of facilitating a grand public entry in this town to the above named unflinching Patriot, call upon all real lovers of liberty to meet at the above house next Tuesday evening at half-past seven.
",,Birmingham,52.4813679,-1.8980726,7,Northern Star,11/09/1841,Meeting,,,14/09/1841
"HACKNEY.   The Chartists of this locality meet every Tuesday night at eight o'clock, at Mr. Weston's Temperance Hotel, Mare-street.",,Hackney,51.533333,-0.083333,7,Northern Star,18/09/1841,Meeting,,,21/09/1841
"NOTTINGHAM.   Mr. Harrison will preach on the Forest next Sunday afternoon, at half-past six o'clock, if weather permit; if not in the chapel.",,Nottingham,52.9549771,-1.1511066,7,Northern Star,18/09/1841,Meeting,,,19/09/1841
"CALVERTON.   Mr. Dean Taylor lectures here on Monday next, at half-past six o'clook.",,Calverton,53.0374,-1.0834,7,Northern Star,18/09/1841,Meeting,,,20/09/1841
"CARLTON.   Mr. Dean Taylor lectures here on Tuesday next, at half-past six.",,Carlton,52.966,-1.085,7,Northern Star,18/09/1841,Meeting,,,21/09/1841
"SHEFFIELD.   Mr. Otley will lecture in the large room. Fig-Tree-lane, at seven o'clock on Sunday evening. Subject :  ""The life and character or Washington.""",,Sheffield,53.3806626,-1.4702278,7,Northern Star,18/09/1841,Meeting,,,19/09/1841
"ECCLES.   Mr. Bell of Salford, will lecture here on Monday evening.",,Eccles,53.4824,-2.339,7,Northern Star,18/09/1841,Meeting,,,20/09/1841
"SLAITHWAITE.   Mr. Thomas Vevers will lecture on Sunday next, the 19th, at three o'clock in the afternoon, at the house of Mr. Wm. Rollitt. Mount Pleasant.",,Slaithwaite,53.6235812,-1.8793828,7,Northern Star,18/09/1841,Meeting,,,19/09/1841
"HOLMFIRTH.   Mr. Edward Clayton will lecture on Sunday next, the 19th, in the National Charter Association-room, at three o'clock in the afternoon.",,Holmfirth,53.5703632,-1.7870544,7,Northern Star,18/09/1841,Meeting,,,19/09/1841
"MANCHESTER.   Mr. Griffin will deliver a lecture in Tib-street, on Sunday morning, on the truly alarming state of the nation.",,Manchester,53.4791466,-2.2447445,7,Northern Star,18/09/1841,Meeting,,,19/09/1841
"SELBY.   The delegate meeting will be held at Mr. George Woodall s, Temperance Hotel, Andus-street. The delegates to meet at the above place on Sunday morning, as early as possible. Any Chartist wishing to send by letter, must address to the Secretary, Wm. Sutherby, shoemaker, Gowthorp.
",,Selby,53.781789,-1.070309,7,Northern Star,18/09/1841,Meeting,,,19/09/1841
"NEWCASTLE.   A public tea will be given in the Music Hall, to Messrs. Williams and Binns, of Sunderland, on Thursday evening next, at seven o clock, in commemoration of their public-spirited conduct.",,Newcastle,54.9770924,-1.6142059,7,Northern Star,25/09/1841,Meeting,,,30/09/1841
"HALIFAX.   A meeting will be held hore on Tuesday evening, to make arrangements for the O Connor demonstration.",,Halifax,53.725,-1.863,7,Northern Star,25/09/1841,Meeting,,,28/09/1841
"Little Town. Mr. Ben j. Rushtoa will preach next Sunday in the open air, if the weather will permit.",,Little Town,53.4447238,-2.5425922,7,Northern Star,25/09/1841,Meeting,,,26/09/1841
"BRADFORD.   The members at New Leeds are requested to attend at their room on Sunday next, at ten o clock in the forenoon, Mr. Alderson will preach at six in the evening at the same place.",,Bradford,53.7941567,-1.7494778,7,Northern Star,25/09/1841,Meeting,,,26/09/1841
"LONDON.   Mr. Watkins will preach at 55, Old Bailey, on Sunday evening.",,London,51.5073219,-0.1276474,7,Northern Star,25/09/1841,Meeting,,,26/09/1841
"LAMBETH.   Mr. Ruffy Ridley will lecture at 1, China-walk, Lamboth-walk, on Tuesday next.",,Lambeth,51.5013012,-0.117287,7,Northern Star,25/09/1841,Meeting,,,28/09/1841
"FINSBURY.   Mr. Wm. Balls will deliver a lecture on The No Property Qualification, and Payment of Members, and clauses of the People s Charter, a Hunt s Coffee House, on Monday next.",,Finsbury,51.5265742,-0.1070713,7,Northern Star,25/09/1841,Meeting,,,27/09/1841
"BIRMINGHAM.   All friends of freedom at this place, are invited to attend a meeting to be held on Monday next, at half-past seven at the Domestic Coffee-house, Henrietta-street, for the purpose of forming a Chartist reading room, &c.",,Birmingham,52.4813679,-1.8980726,7,Northern Star,25/09/1841,Meeting,,,27/09/1841
"UPPER HANLEY.   Mr. John Richards will deliver two lectures on Sunday, the 26th of Sept, on the duty of Chartists, at Mr. Pepper's Association-room, Smallthorn, and on Wednesday, the 29th, on the prospects of the people, at the same place. There is a discussion class at Mr. J. Yates s Temperance Hotel, every Tuesday night, at half-past seven o clock.",,Upper Hanley,53.027184,-2.1719375,7,Northern Star,25/09/1841,Meeting,,,28/09/1841
"MACCLESFIELD.   On Sunday evening, Mr. Chaudley will lecture in the rooms, Watercotes, at half-past six o clock.",,Macclesfield,53.2606635,-2.1255158,7,Northern Star,25/09/1841,Meeting,,,26/09/1841
"SHEFFIELD.   Mr, Beale will lecture on poetry, in the room, Fig-Tree-lane, on Sunday evening, at seven o clock.",,Sheffield,53.3840547,-1.4683069,7,Northern Star,25/09/1841,Meeting,,,26/09/1841
"Female Chartists. -The Sheffield female Chartists are respectfully requested to meet in the Association-room, Fig-Tree-lane, on Tuesday evening, the 26th instant, at half-past seven o clock.",,Female Chartists,53.3840547,-1.4683069,7,Northern Star,25/09/1841,Meeting,,,28/09/1841
"NOTTINGHAM.   On Sunday next, Mr. Dean Taylor will preach on the Forest, at half-past one o clock, and at half-past five o clock.",,Nottingham,52.9549771,-1.1511066,7,Northern Star,25/09/1841,Meeting,,,26/09/1841
"HUNSLET.   Mr. Wm. Hick will preach at the Association Room, Hunslet, on Sunday evening, to commence at half-past-six o clock.
",,Hunslet,53.7834388,-1.5359315,7,Northern Star,25/09/1841,Meeting,,,26/09/1841
"BIRMINGHAM.   Mr. G. White will deliver a lecture at the the Domestic Coffee House, Henrietta-street, on Thursday evening next, at half-past seven.",,Birmingham,52.4813679,-1.8980726,7,Northern Star,02/10/1841,Meeting,,,07/10/1841
"WHITECHAPEL, LONDON.   A grand ball will be given in aid of the County Council funds, in the Social Institution, 81, High-street, Whitechapel, on Tuesday evening. Tickets, sixpence each, may be had of the Committee, and of Mr. Drake, Charter Coffee House, 166, Brick-lane; Mr, Hover, 2, Green-street, Bethnal-green ; Mr. Fox,: 3, North-street, Whitechapel-road ; Mr. House, 3, Little Turner-street, Commercial-road; Mr. Fmnett, 24, Hunt-Btreet, Mile End, New Town ; Mr. Newley, 12, White-street, Bethnal Green Road ; and at the Social Institution.",,"Whitechapel, London",51.5195586,-0.059960378,7,Northern Star,02/10/1841,Meeting,,,05/10/1841
"HARTLEPOOL.   A public meeting will be held here on Monday next, for the purpose of propagating the principles of Chartism. Delegates from Middlesbro and Stockton will address the meeting on the above subject. All classes who take an interest in the well-being of the country are requested to attend.",,Hartlepool,54.6957009,-1.2003161,7,Northern Star,02/10/1841,Meeting,,,04/10/1841
LEEDS.   Mr. Duffy will preach in Cheapside tomorrow evening.,,Leeds,53.7974185,-1.5437941,7,Northern Star,02/10/1841,Meeting,,,03/10/1841
